,Search Trends,close
2016-09-19 15:00:00,55.0,178.94
2016-09-20 09:00:00,7.0,180.02
2016-09-20 10:00:00,14.0,178.74
2016-09-20 11:00:00,26.0,179.35
2016-09-20 12:00:00,37.0,179.04
2016-09-20 13:00:00,43.0,179.89
2016-09-20 14:00:00,48.0,179.73
2016-09-20 15:00:00,51.0,179.24
2016-09-21 09:00:00,7.0,180.33
2016-09-21 10:00:00,14.0,180.86
2016-09-21 11:00:00,25.0,182.03
2016-09-21 12:00:00,36.0,182.11
2016-09-21 13:00:00,43.0,182.63
2016-09-21 14:00:00,48.0,184.27
2016-09-21 15:00:00,51.0,186.65
2016-09-22 09:00:00,7.0,190.99
2016-09-22 10:00:00,15.0,189.7
2016-09-22 11:00:00,27.0,189.34
2016-09-22 12:00:00,37.0,189.7
2016-09-22 13:00:00,44.0,191.0
2016-09-22 14:00:00,50.0,191.085
2016-09-22 15:00:00,52.0,191.44
2016-09-23 09:00:00,7.0,189.82
2016-09-23 10:00:00,15.0,189.57
2016-09-23 11:00:00,27.0,188.165
2016-09-23 12:00:00,38.0,187.83
2016-09-23 13:00:00,44.0,187.25
2016-09-23 14:00:00,48.0,187.09
2016-09-23 15:00:00,51.0,187.03
2016-09-28 09:00:00,8.0,187.59
2016-09-28 10:00:00,16.0,185.03
2016-09-28 11:00:00,29.0,185.67
2016-09-28 12:00:00,40.0,185.5
2016-09-28 13:00:00,46.0,186.22
2016-09-28 14:00:00,51.0,186.62
2016-09-28 15:00:00,54.0,187.415
2016-09-29 09:00:00,8.0,187.38
2016-09-29 10:00:00,15.0,185.58
2016-09-29 11:00:00,28.0,185.08
2016-09-29 12:00:00,39.0,185.77
2016-09-29 13:00:00,44.0,184.09
2016-09-29 14:00:00,49.0,185.325
2016-09-29 15:00:00,51.0,183.93
2016-09-30 09:00:00,8.0,183.78
2016-09-30 10:00:00,16.0,184.97
2016-09-30 11:00:00,28.0,184.91
2016-09-30 12:00:00,40.0,184.72
2016-09-30 13:00:00,45.0,184.82
2016-09-30 14:00:00,50.0,184.97
2016-09-30 15:00:00,51.0,184.95
2016-10-03 09:00:00,6.0,186.23
2016-10-03 10:00:00,13.0,185.83
2016-10-03 11:00:00,25.0,185.38
2016-10-03 12:00:00,36.0,185.5
2016-10-03 13:00:00,43.0,185.68
2016-10-03 14:00:00,48.0,186.04
2016-10-03 15:00:00,51.0,186.33
2016-10-04 09:00:00,8.0,185.02
2016-10-04 10:00:00,16.0,185.17
2016-10-04 11:00:00,28.0,184.67
2016-10-04 12:00:00,38.0,184.74
2016-10-04 13:00:00,44.0,183.83
2016-10-04 14:00:00,48.0,183.04
2016-10-04 15:00:00,51.0,184.505
2016-10-05 09:00:00,8.0,184.88
2016-10-05 10:00:00,15.0,185.56
2016-10-05 11:00:00,28.0,186.06
2016-10-05 12:00:00,39.0,186.21
2016-10-05 13:00:00,45.0,185.935
2016-10-05 14:00:00,50.0,185.56
2016-10-05 15:00:00,52.0,186.48
2016-10-06 09:00:00,8.0,186.8
2016-10-06 10:00:00,16.0,187.53
2016-10-06 11:00:00,28.0,186.85
2016-10-06 12:00:00,39.0,186.98
2016-10-06 13:00:00,42.0,186.78
2016-10-06 14:00:00,47.0,186.08
2016-10-06 15:00:00,49.0,186.35
2016-10-07 09:00:00,8.0,187.56
2016-10-07 10:00:00,16.0,189.71
2016-10-07 11:00:00,27.0,189.18
2016-10-07 12:00:00,38.0,188.98
2016-10-07 13:00:00,43.0,189.2
2016-10-07 14:00:00,48.0,189.67
2016-10-07 15:00:00,50.0,189.78
2016-10-10 09:00:00,5.0,192.39
2016-10-10 10:00:00,10.0,192.2
2016-10-10 11:00:00,19.0,191.61
2016-10-10 12:00:00,31.0,190.91
2016-10-10 13:00:00,38.0,189.54
2016-10-10 14:00:00,45.0,189.11
2016-10-10 15:00:00,48.0,189.11
2016-10-11 09:00:00,8.0,184.16
2016-10-11 10:00:00,15.0,183.82
2016-10-11 11:00:00,28.0,184.13
2016-10-11 12:00:00,40.0,183.87
2016-10-11 13:00:00,46.0,182.9
2016-10-11 14:00:00,49.0,183.93
2016-10-11 15:00:00,51.0,184.3
2016-10-12 09:00:00,7.0,182.51
2016-10-12 10:00:00,14.0,182.51
2016-10-12 11:00:00,25.0,183.73
2016-10-12 12:00:00,35.0,183.89
2016-10-12 13:00:00,41.0,183.76
2016-10-12 14:00:00,47.0,183.35
2016-10-12 15:00:00,49.0,183.2
2016-10-12 16:00:00,51.0,176.5
2016-10-13 08:00:00,5.0,171.1
2016-10-13 09:00:00,8.0,169.89
2016-10-13 10:00:00,15.0,170.84
2016-10-13 11:00:00,28.0,170.22
2016-10-13 12:00:00,40.0,169.29
2016-10-13 13:00:00,45.0,169.53
2016-10-13 14:00:00,50.0,170.72
2016-10-13 15:00:00,52.0,168.45
2016-10-14 08:00:00,5.0,168.48
